,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,product_importance,gender,discount_offered,weight_in_gms,reached_ontime
5512,C,Ship,6,5,266,4,medium,F,6,1312,1
5513,F,Ship,4,1,233,4,low,M,2,1809,0
5514,D,Ship,5,3,287,4,low,M,2,1437,0
5515,F,Ship,6,5,268,4,low,M,10,1170,0
5516,A,Ship,6,2,290,4,medium,M,2,1070,1
5517,B,Ship,7,4,291,4,high,M,4,1248,1
5518,C,Ship,5,3,227,5,medium,M,2,1965,0
5519,F,Ship,3,5,222,2,low,M,9,1321,0
5520,D,Ship,6,5,301,4,medium,F,2,1943,0
5521,F,Ship,6,2,304,4,medium,F,10,1983,1
5522,A,Ship,4,2,133,3,low,M,2,1212,1
5523,B,Ship,4,1,218,5,low,F,5,1238,0
5524,C,Ship,5,5,304,5,low,F,8,1949,1
5525,F,Ship,6,1,260,4,medium,M,9,1698,1
5526,D,Ship,6,5,252,4,low,F,9,1460,0
5527,F,Ship,4,2,253,5,low,M,5,1812,0
5528,A,Ship,6,4,248,4,low,F,6,1851,0
5529,B,Ship,5,3,237,5,medium,F,4,1733,1
5530,C,Ship,5,3,264,5,medium,F,5,1399,0
5531,F,Ship,6,1,308,4,medium,M,1,1216,1
5532,D,Ship,7,3,270,4,medium,F,10,1211,0
5533,F,Ship,6,3,269,4,medium,F,6,1822,1
5534,A,Ship,6,1,271,4,low,F,9,1302,0
5535,B,Ship,7,1,244,5,medium,F,3,1418,1
5536,C,Ship,6,2,245,4,low,F,8,1904,0
5537,F,Ship,5,4,219,5,low,M,5,1388,1
5538,D,Ship,6,2,257,4,low,F,4,1929,1
5539,F,Ship,3,3,226,3,low,M,4,5048,0
5540,A,Ship,4,4,200,2,low,M,5,5783,0
5541,B,Ship,4,4,260,2,low,M,3,5801,0
5542,C,Ship,3,4,142,2,medium,F,7,5346,0
5543,F,Ship,5,3,193,5,medium,M,3,5888,0
5544,D,Ship,5,2,180,3,medium,M,1,4655,1
5545,F,Ship,4,3,232,3,medium,F,8,5298,1
5546,A,Ship,3,2,148,2,low,F,1,4133,1
5547,B,Ship,5,3,205,4,low,M,9,4277,0
5548,C,Ship,3,4,212,3,medium,F,3,4811,0
5549,F,Ship,3,4,168,2,medium,M,9,5235,1
5550,D,Ship,3,5,145,2,low,F,2,4232,1
5551,F,Ship,3,5,253,3,medium,M,9,5979,1
5552,A,Ship,3,5,143,2,low,F,6,4253,0
5553,B,Ship,4,2,267,5,low,M,9,4720,1
5554,C,Ship,6,1,123,5,medium,M,5,5323,1
5555,F,Ship,5,1,106,5,medium,F,4,4180,0
5556,D,Ship,2,2,249,3,low,F,3,4129,1
5557,F,Ship,5,1,178,2,low,F,5,4369,0
5558,A,Ship,4,3,148,4,low,F,1,4243,0
5559,B,Ship,4,1,144,4,medium,M,6,5197,1
5560,C,Ship,3,1,249,2,low,F,2,5572,1
5561,F,Ship,5,5,128,3,low,M,9,5143,1
5562,D,Ship,4,4,228,4,high,M,1,5573,0
5563,F,Ship,3,4,242,2,low,F,10,5559,1
5564,A,Ship,4,2,272,3,medium,F,1,4933,1
5565,B,Ship,4,1,173,2,medium,F,8,4893,0
5566,C,Ship,3,2,189,6,low,M,7,4329,0
5567,F,Ship,4,2,245,2,low,M,3,4000,0
5568,D,Ship,4,1,211,3,high,M,5,5757,1
5569,F,Ship,2,1,214,3,high,M,1,4391,0
5570,A,Ship,5,4,215,2,low,F,1,5669,0
5571,B,Ship,3,1,248,2,medium,M,1,5703,0
5572,C,Ship,3,1,225,3,medium,M,2,4284,0
5573,F,Ship,5,1,120,3,low,M,7,4381,1
5574,D,Ship,5,2,243,3,low,F,8,4133,1
5575,F,Ship,3,4,214,2,low,M,10,4794,0
5576,A,Ship,3,1,144,3,low,F,8,5221,1
5577,B,Ship,3,1,242,6,low,M,10,5493,1
5578,C,Ship,4,5,160,5,medium,F,3,4648,1
5579,F,Ship,5,5,139,4,medium,F,3,4433,1
5580,D,Ship,3,1,221,4,medium,F,8,5971,0
5581,F,Ship,5,5,266,2,medium,M,7,5712,1
5582,A,Ship,5,4,140,4,low,F,10,4528,0
5583,B,Ship,4,4,134,2,low,M,1,5209,1
5584,C,Ship,3,3,260,2,low,M,7,5738,0
5585,F,Ship,5,4,261,6,medium,F,4,5349,0
5586,D,Ship,5,2,274,4,medium,F,7,4929,0
5587,F,Ship,4,5,263,3,medium,M,3,4020,0
5588,A,Ship,4,4,189,4,medium,F,9,5838,1
5589,B,Ship,4,5,257,2,low,M,3,5394,0
5590,C,Road,5,5,195,4,medium,M,1,4482,0
5591,F,Road,2,3,201,3,medium,M,5,5733,1
5592,D,Road,4,4,264,4,medium,M,9,5186,0
5593,F,Road,3,2,180,2,high,M,10,4024,0
5594,A,Road,3,1,220,3,low,F,6,5572,1
5595,B,Road,5,1,113,3,medium,F,6,5509,1
5596,C,Road,4,2,168,2,high,F,9,5684,0
5597,F,Road,5,2,251,3,low,M,9,4298,1
5598,D,Road,4,2,245,3,medium,F,2,4835,1
5599,F,Road,4,4,164,4,medium,F,1,4365,1
5600,A,Road,3,1,232,2,medium,M,4,5806,1
5601,B,Road,4,3,138,3,high,M,2,5358,0
5602,C,Road,4,2,233,3,low,F,3,5740,1
5603,F,Road,4,4,150,2,medium,F,1,4711,1
5604,D,Road,3,5,253,2,medium,M,7,5846,0
5605,F,Road,4,4,179,3,medium,M,5,4061,1
5606,A,Road,5,2,135,2,medium,M,4,5405,0
5607,B,Road,3,1,166,2,medium,F,9,5853,1
5608,C,Road,3,4,196,2,medium,F,5,4342,1
5609,F,Road,4,4,238,2,low,F,4,4337,1
5610,D,Road,2,2,159,6,low,F,6,4044,0
5611,F,Road,3,5,226,2,medium,M,3,4208,1
5612,A,Flight,5,1,182,5,high,F,6,5398,0
5613,B,Flight,5,5,173,3,low,M,4,5265,1
5614,C,Flight,3,2,257,5,low,M,5,4130,1
5615,F,Flight,2,3,223,3,low,F,9,5653,0
5616,D,Flight,4,2,194,3,low,F,3,5174,0
5617,F,Flight,5,4,281,3,low,F,10,5675,0
5618,A,Flight,5,4,236,3,medium,F,1,5711,0
5619,B,Flight,3,5,165,4,low,M,6,4795,1
5620,C,Flight,4,2,200,2,low,F,8,4222,0
5621,F,Flight,3,3,168,4,low,F,2,4541,1
5622,D,Flight,4,3,266,6,medium,F,5,5209,0
5623,F,Flight,2,1,226,2,medium,F,1,5576,0
5624,A,Flight,5,3,143,2,medium,M,5,5612,1
5625,B,Flight,4,2,116,3,low,F,2,5602,1
5626,C,Flight,4,4,139,2,high,F,9,4446,1
5627,F,Flight,4,3,248,2,medium,F,2,4700,0
5628,D,Flight,5,4,135,2,low,M,5,5834,0
5629,F,Flight,4,4,265,2,medium,F,9,4106,0
5630,A,Flight,5,5,175,6,medium,F,2,4995,1
5631,B,Flight,6,2,256,3,medium,M,1,4435,1
5632,C,Flight,5,4,217,2,medium,F,3,5925,0
5633,F,Flight,4,4,203,3,medium,M,8,4443,0
5634,D,Ship,3,4,145,2,high,F,5,5513,0
5635,F,Ship,3,2,268,3,low,M,9,4215,0
5636,A,Ship,4,5,206,2,medium,F,10,4437,0
5637,B,Ship,3,2,215,3,medium,F,10,4198,1
5638,C,Ship,4,1,177,3,medium,F,5,4382,0
5639,F,Ship,3,3,183,3,low,F,3,5538,0
5640,D,Ship,4,2,227,5,medium,M,6,4618,0
5641,F,Ship,4,1,209,4,medium,F,1,5057,0
5642,A,Ship,4,4,193,3,low,M,5,5090,1
5643,B,Ship,4,4,144,2,low,M,5,4380,1
5644,C,Ship,4,2,192,3,low,F,3,4130,1
5645,F,Ship,2,3,247,4,low,M,5,5725,0
5646,D,Ship,3,4,199,4,medium,F,6,5207,0
5647,F,Ship,6,5,273,5,medium,M,10,5756,1
5648,A,Ship,3,3,232,4,low,F,4,4662,1
5649,B,Ship,3,5,214,3,low,F,6,5319,0
5650,C,Ship,5,1,156,2,low,M,10,5086,0
5651,F,Ship,4,3,200,3,medium,M,5,5108,0
5652,D,Ship,3,5,196,3,medium,F,9,4741,1
5653,F,Ship,5,3,189,3,medium,F,7,5830,1
5654,A,Ship,5,2,266,2,low,M,3,4030,0
5655,B,Ship,4,4,198,2,medium,M,2,5725,1
5656,C,Ship,4,5,144,2,low,M,2,4978,0
5657,F,Ship,4,4,217,5,medium,M,6,5891,1
5658,D,Ship,5,1,169,4,medium,M,4,4541,0
5659,F,Ship,3,1,153,4,medium,F,1,4608,0
5660,A,Ship,4,4,152,2,medium,F,5,5324,0
5661,B,Ship,5,5,245,5,medium,F,4,4627,0
5662,C,Ship,4,2,237,3,low,M,2,5277,0
5663,F,Ship,4,2,266,2,low,F,8,5516,0
5664,D,Ship,4,5,216,4,medium,F,1,4458,1
5665,F,Ship,3,4,186,3,medium,F,4,5501,1
5666,A,Ship,5,3,280,4,medium,F,4,5192,0
5667,B,Ship,4,5,229,2,medium,F,1,4869,0
5668,C,Ship,3,2,225,3,low,M,3,5529,0
5669,F,Ship,3,5,149,3,low,F,7,4357,0
5670,D,Ship,5,5,200,3,low,M,6,4401,1
5671,F,Ship,4,2,246,3,low,F,1,5815,1
5672,A,Ship,3,4,150,2,low,M,1,4742,0
5673,B,Ship,3,1,175,3,medium,F,9,5797,0
5674,C,Ship,3,5,141,3,medium,M,10,5775,0
5675,F,Ship,3,4,102,3,medium,M,9,4111,0
5676,D,Ship,3,1,209,3,low,F,8,4367,0
5677,F,Ship,4,4,287,6,medium,M,6,5282,0
5678,A,Ship,3,5,212,2,low,F,3,5761,1
5679,B,Ship,3,4,205,3,high,F,1,5407,0
5680,C,Ship,3,1,180,2,high,M,10,4200,0
5681,F,Ship,5,4,229,3,low,M,1,5660,0
5682,D,Ship,2,2,182,3,high,M,6,4112,1
5683,F,Ship,4,1,183,3,medium,F,4,4789,0
5684,A,Ship,3,1,212,3,medium,M,10,5759,0
5685,B,Ship,4,3,235,6,medium,M,2,4689,0
5686,C,Ship,5,5,210,4,medium,M,9,5081,1
5687,F,Ship,5,2,111,4,medium,F,7,4424,0
5688,D,Ship,5,1,270,4,medium,F,7,5149,0
5689,F,Ship,4,4,135,2,low,M,4,4684,0
5690,A,Ship,3,5,143,3,low,F,10,5021,0
5691,B,Ship,4,1,216,2,low,F,5,5059,0
5692,C,Ship,5,1,136,3,low,M,10,5308,0
5693,F,Ship,3,3,145,3,low,F,10,5696,0
5694,D,Ship,5,3,142,4,medium,F,4,5116,1
5695,F,Ship,4,2,175,3,medium,M,7,4874,1
5696,A,Ship,3,1,183,2,low,M,5,5329,1
5697,B,Ship,3,1,191,5,medium,M,2,4956,1
5698,C,Ship,3,4,247,3,low,F,9,4157,0
5699,F,Ship,3,1,170,2,low,F,2,5662,1
5700,D,Ship,3,2,275,2,low,F,5,5393,1
5701,F,Ship,4,4,147,4,low,F,8,5882,0
5702,A,Ship,4,4,188,3,low,M,6,4174,1
5703,B,Ship,5,5,248,2,low,M,4,5587,0
5704,C,Ship,3,1,245,2,low,F,8,4594,1
5705,F,Ship,4,5,164,3,high,M,3,4454,0
5706,D,Ship,4,2,260,3,medium,F,3,4661,1
5707,F,Ship,4,4,149,2,medium,F,9,4605,0
5708,A,Ship,3,2,174,3,low,M,3,4132,0
5709,B,Ship,4,5,242,2,low,F,1,5682,1
5710,C,Ship,4,1,134,3,medium,M,7,4933,1
5711,F,Ship,4,5,189,3,medium,F,3,5193,0
5712,D,Ship,6,5,263,7,high,M,7,5216,1
5713,F,Ship,5,2,280,3,high,F,8,5858,1
5714,A,Ship,4,2,258,7,medium,M,3,4538,1
5715,B,Ship,4,4,179,3,high,F,1,5242,1
5716,C,Ship,5,1,250,4,medium,M,10,5306,1
5717,F,Ship,4,4,212,2,medium,M,5,4774,1
5718,D,Ship,4,3,236,3,low,M,4,4257,1
5719,F,Ship,3,1,239,8,high,M,6,5023,1
5720,A,Ship,6,3,305,4,low,M,3,1276,0
5721,B,Ship,6,3,309,4,low,M,5,1712,0
5722,C,Ship,6,3,266,4,medium,M,8,1983,1
5723,F,Ship,4,5,233,4,low,F,6,1495,0
5724,D,Ship,5,5,287,4,low,M,4,1509,1
5725,F,Ship,6,2,268,4,low,F,7,1274,0
5726,A,Ship,6,4,290,4,medium,M,10,1366,0
5727,B,Road,7,5,291,4,high,M,6,1135,0
5728,C,Road,5,5,227,5,medium,F,3,1687,0
5729,F,Road,4,5,175,3,medium,F,5,4194,0
5730,D,Road,3,3,183,2,low,M,6,5015,0
5731,F,Road,3,4,191,5,medium,F,4,4243,1
5732,A,Road,3,4,247,3,low,M,10,5749,1
5733,B,Road,3,2,170,2,low,M,2,4214,1
5734,C,Road,3,5,275,2,low,F,7,4619,0
5735,F,Road,4,3,147,4,low,F,7,4865,0
5736,D,Road,4,5,188,3,low,M,4,4632,0
5737,F,Road,5,1,248,2,low,F,6,5281,0
5738,A,Road,3,3,245,2,low,F,4,4719,1
5739,B,Road,4,5,164,3,high,M,7,4657,0
5740,C,Road,4,1,260,3,medium,M,9,5886,1
5741,F,Road,4,2,149,2,medium,M,8,5460,1
5742,D,Road,3,1,174,3,low,M,7,4318,1
5743,F,Road,4,1,242,2,low,F,2,5825,0
5744,A,Road,4,5,134,3,medium,F,4,5423,0
5745,B,Road,4,3,189,3,medium,F,4,4410,0
5746,C,Road,6,5,263,7,high,M,9,5991,1
5747,F,Road,5,3,280,3,high,M,2,5273,0
5748,D,Road,4,4,258,7,medium,M,8,5069,0
5749,F,Flight,4,1,179,3,high,M,5,4129,0
5750,A,Flight,5,4,250,4,medium,M,4,4531,0
5751,B,Flight,4,1,212,2,medium,F,7,5864,0
5752,C,Flight,4,4,236,3,low,M,10,4347,1
5753,F,Flight,3,4,239,8,high,M,4,4192,0
5754,D,Flight,6,4,305,4,low,F,7,1172,1
5755,F,Flight,6,1,309,4,low,F,6,1866,1
5756,A,Flight,6,1,266,4,medium,F,2,1862,1
5757,B,Flight,4,2,233,4,low,M,7,1861,0
5758,C,Flight,5,1,287,4,low,F,4,1579,0
5759,F,Flight,6,5,268,4,low,F,2,1324,0
5760,D,Flight,6,1,290,4,medium,M,6,1505,1
5761,F,Flight,7,3,244,5,medium,F,10,1913,1
5762,A,Flight,6,3,245,4,low,M,2,1158,1
5763,B,Flight,5,4,219,5,low,M,5,1867,0
5764,C,Flight,6,3,257,4,low,F,4,1358,1
5765,F,Flight,6,1,250,4,low,F,2,1783,1
5766,D,Flight,6,1,249,4,medium,M,2,1189,1
5767,F,Flight,5,4,259,5,low,F,2,1627,1
5768,A,Flight,6,4,266,4,low,M,3,1503,1
5769,B,Flight,6,5,244,4,medium,F,4,1648,1
5770,C,Flight,4,2,239,6,low,F,7,1934,0
5771,F,Ship,4,2,270,5,low,M,6,1520,0
5772,D,Ship,6,4,270,4,low,F,10,1199,1
5773,F,Ship,6,5,257,4,medium,F,1,1957,1
5774,A,Ship,4,2,243,5,medium,F,4,1633,1
5775,B,Ship,5,2,264,6,medium,M,10,1659,1
5776,C,Ship,5,4,224,6,low,F,6,1049,1
5777,F,Ship,6,5,304,4,low,M,8,1755,1
5778,D,Ship,4,2,243,5,medium,F,8,1922,0
5779,F,Ship,6,3,272,4,low,M,5,1355,1
5780,A,Ship,5,4,269,5,low,F,4,1537,1
5781,B,Ship,7,3,267,4,low,M,7,1384,0
5782,C,Ship,6,1,251,4,low,M,2,1679,0
5783,F,Ship,4,3,249,5,low,F,3,1012,1
5784,D,Ship,7,2,284,4,low,F,6,1550,1
5785,F,Ship,4,1,254,5,medium,F,3,1880,1
5786,A,Ship,6,5,269,4,low,M,5,1264,1
5787,B,Ship,7,5,265,4,low,F,9,1393,0
5788,C,Ship,5,3,220,6,medium,F,6,1830,1
5789,F,Ship,4,4,217,5,medium,F,4,1503,0
5790,D,Ship,7,4,285,4,medium,F,2,1017,1
5791,F,Ship,5,1,265,5,medium,F,3,1514,1
5792,A,Ship,5,1,240,5,medium,M,1,1200,0
5793,B,Ship,5,5,247,3,low,M,1,5226,0
5794,C,Ship,5,4,179,6,medium,F,8,4615,1
5795,F,Ship,4,5,142,2,medium,F,9,5425,1
5796,D,Ship,4,3,207,5,high,F,6,4145,0
5797,F,Ship,3,1,183,3,medium,M,7,5849,1
5798,A,Ship,4,3,167,2,medium,F,2,5544,0
5799,B,Ship,4,3,175,3,low,F,2,5208,0
5800,C,Ship,3,5,183,2,low,M,8,5881,1
5801,F,Ship,6,5,176,3,low,F,10,5307,0
5802,D,Ship,3,4,187,3,low,M,7,5417,0
5803,F,Ship,4,5,143,3,medium,F,8,4142,1
5804,A,Ship,4,3,136,3,low,F,7,5976,0
5805,B,Ship,3,3,178,3,low,M,3,5396,1
5806,C,Ship,4,4,208,2,medium,F,6,4983,1
5807,F,Ship,4,1,171,2,medium,M,1,5635,0
5808,D,Ship,2,1,197,4,low,M,5,4614,0
5809,F,Ship,5,1,179,3,low,F,7,5814,0
5810,A,Ship,6,4,197,5,medium,M,4,5889,1
5811,B,Ship,5,4,285,2,low,M,2,4505,1
5812,C,Ship,6,1,141,5,low,F,9,5113,0
5813,F,Ship,4,5,274,3,medium,M,5,4773,0
5814,D,Ship,5,2,287,3,medium,F,3,4903,1
5815,F,Ship,5,3,218,3,medium,F,4,4198,1
5816,A,Ship,3,1,213,3,high,F,6,5535,0
5817,B,Ship,2,1,207,4,low,M,1,5742,0
5818,C,Ship,5,5,273,4,low,M,7,4064,1
5819,F,Ship,3,3,185,3,low,M,6,5995,1
5820,D,Ship,3,1,192,3,low,F,4,5179,0
5821,F,Ship,4,4,276,2,medium,F,3,4306,1
5822,A,Ship,5,2,229,2,medium,M,1,5724,0
5823,B,Ship,3,5,248,2,high,M,3,5287,1
5824,C,Ship,3,4,267,3,high,F,2,5204,1
5825,F,Ship,4,4,272,3,low,M,9,5458,0
5826,D,Ship,3,3,153,3,low,M,8,5487,0
5827,F,Ship,4,2,246,4,medium,M,7,5056,1
5828,A,Ship,3,3,261,4,low,F,9,4529,1
5829,B,Ship,4,5,207,2,low,F,3,5270,1
5830,C,Ship,3,1,133,3,medium,M,8,4634,0
5831,F,Ship,3,5,269,5,low,M,6,5932,1
5832,D,Ship,4,3,251,3,high,M,8,5986,1
5833,F,Ship,4,2,252,4,low,F,3,4956,1
5834,A,Ship,3,5,135,2,low,F,4,5275,1
5835,B,Ship,4,3,273,4,medium,F,1,4585,0
5836,C,Ship,4,2,168,3,low,M,3,4653,1
5837,F,Ship,2,4,233,2,medium,F,6,4758,0
5838,D,Ship,3,2,133,2,low,F,3,4677,1
5839,F,Ship,3,5,147,4,high,M,10,5164,1
5840,A,Ship,5,2,249,6,low,M,8,5633,0
5841,B,Ship,6,3,259,4,low,F,3,4117,1
5842,C,Ship,4,2,194,3,low,F,10,5171,1
5843,F,Ship,4,5,134,6,medium,M,7,4881,1
5844,D,Ship,3,4,98,3,low,M,5,4432,0
5845,F,Ship,5,1,138,3,low,M,10,5612,1
5846,A,Ship,5,5,193,5,high,F,4,5087,1
5847,B,Ship,5,5,184,3,medium,M,7,4742,0
5848,C,Ship,4,4,172,3,medium,M,7,5098,0
5849,F,Ship,4,3,248,2,medium,M,2,4701,1
5850,D,Ship,2,4,114,5,high,F,5,5334,1
5851,F,Ship,4,5,201,2,high,F,2,4657,0
5852,A,Ship,3,4,206,4,medium,M,2,4372,0
5853,B,Ship,6,1,185,4,high,F,10,5254,1
5854,C,Ship,5,2,272,3,high,M,5,4972,0
5855,F,Ship,4,3,266,2,medium,M,6,4286,1
5856,D,Ship,3,4,203,2,low,M,9,5735,0
5857,F,Ship,4,3,218,5,low,M,2,4823,1
5858,A,Ship,2,5,279,3,low,F,8,4632,0
5859,B,Ship,4,4,159,2,low,M,4,4648,1
5860,C,Ship,5,3,138,3,low,F,5,5687,1
5861,F,Ship,3,2,224,3,low,F,7,5896,0
5862,D,Ship,3,3,269,3,low,M,4,4309,0
5863,F,Ship,5,3,121,2,medium,F,4,5231,1
5864,A,Road,4,3,134,2,low,F,2,4522,0
5865,B,Road,4,5,259,3,medium,M,4,5344,1
5866,C,Road,4,4,206,2,high,M,8,4093,1
5867,F,Road,3,1,209,2,low,M,6,5701,1
5868,D,Road,3,3,145,3,medium,M,1,5709,0
5869,F,Road,5,2,164,2,medium,M,8,5717,0
5870,A,Road,3,1,133,3,medium,M,6,5464,1
5871,B,Road,3,2,178,3,low,F,5,5686,0
5872,C,Road,4,3,175,2,low,M,3,4200,0
5873,F,Road,2,4,242,3,medium,M,8,4898,0
5874,D,Road,4,2,202,3,low,M,8,4575,1
5875,F,Road,4,3,176,2,low,F,6,5149,1
5876,A,Road,4,3,203,4,low,F,1,5274,0
5877,B,Road,4,3,207,4,low,M,5,5008,1
5878,C,Road,4,2,268,3,medium,M,1,4927,0
5879,F,Road,3,3,244,3,low,M,6,5109,0
5880,D,Road,3,5,134,3,low,F,10,4693,0
5881,F,Road,3,4,143,3,low,F,1,4392,1
5882,A,Road,3,5,246,3,low,F,2,5556,1
5883,B,Road,3,2,157,2,low,F,7,5228,0
5884,C,Road,3,3,169,3,low,M,10,5147,0
5885,F,Road,4,5,231,3,low,F,6,4449,1
5886,D,Flight,3,3,262,5,medium,F,1,5043,0
5887,F,Flight,3,2,227,2,medium,M,10,4290,0
5888,A,Flight,5,2,162,4,medium,M,7,5477,1
5889,B,Flight,5,5,148,2,medium,M,4,4812,0
5890,C,Flight,3,4,138,2,medium,F,8,4837,0
5891,F,Flight,3,3,255,2,medium,F,3,4824,0
5892,D,Flight,3,5,218,3,low,M,2,5841,0
5893,F,Flight,4,1,260,4,low,M,2,4091,1
5894,A,Flight,4,3,142,2,low,F,5,5502,1
5895,B,Flight,4,5,257,3,medium,M,5,4180,0
5896,C,Flight,4,2,252,3,low,F,1,4176,0
5897,F,Flight,5,4,151,5,low,F,1,4122,0
5898,D,Flight,4,3,190,5,low,F,8,4736,0
5899,F,Flight,4,5,137,2,low,M,7,4068,0
5900,A,Flight,4,4,164,2,low,M,7,5456,0
5901,B,Flight,3,5,271,3,low,F,9,5328,0
5902,C,Flight,3,5,162,2,high,M,1,4573,1
5903,F,Flight,2,4,221,5,medium,M,4,4034,1
5904,D,Flight,5,4,202,3,low,F,3,4559,1
5905,F,Flight,4,5,143,2,low,M,1,5836,0
5906,A,Flight,3,5,254,3,low,M,6,4703,0
5907,B,Flight,4,3,96,4,medium,M,1,4984,1
5908,C,Ship,3,3,199,5,medium,F,10,4847,1
5909,F,Ship,4,1,198,4,low,F,5,5182,0
5910,D,Ship,4,3,257,3,low,F,2,5198,1
5911,F,Ship,3,2,149,5,medium,F,9,4310,0
5912,A,Ship,5,1,193,4,medium,F,10,5280,0
5913,B,Ship,3,5,284,2,low,M,10,5619,0
5914,C,Ship,4,5,205,4,medium,F,5,5264,0
5915,F,Ship,5,5,185,3,low,M,5,4520,1
5916,D,Ship,5,4,268,3,high,F,10,4955,0
5917,F,Ship,5,1,252,3,medium,M,2,4339,0
5918,A,Ship,4,3,196,2,low,F,5,5656,0
5919,B,Ship,3,3,149,3,low,M,6,4654,0
5920,C,Ship,5,5,154,2,medium,M,3,4669,0
5921,F,Ship,5,4,267,2,medium,M,4,4053,0
5922,D,Ship,3,3,208,2,medium,F,5,5661,0
5923,F,Ship,5,5,275,3,medium,M,9,4287,1
5924,A,Ship,4,2,272,2,low,F,1,5939,1
5925,B,Ship,6,5,280,3,low,M,9,4074,1
5926,C,Ship,6,3,202,3,low,F,5,4930,0
5927,F,Ship,5,2,184,3,medium,F,8,4581,0
5928,D,Ship,5,2,244,5,medium,F,7,5515,0
5929,F,Ship,4,4,138,5,low,M,10,5401,0
5930,A,Ship,4,3,109,2,medium,F,4,5407,0
5931,B,Ship,2,5,189,5,low,M,3,5292,0
5932,C,Ship,3,2,170,3,low,M,9,4069,0
5933,F,Ship,3,1,183,2,medium,F,10,4598,0
5934,D,Ship,3,4,263,6,high,M,3,4429,0
5935,F,Ship,4,1,271,4,low,M,9,5853,1
5936,A,Ship,6,3,202,4,medium,F,3,4496,1
5937,B,Ship,3,3,265,3,medium,F,8,5070,0
5938,C,Ship,4,1,220,3,medium,F,6,4472,0
5939,F,Ship,4,4,274,2,low,F,7,4873,1
5940,D,Ship,4,5,212,2,medium,M,10,4552,0
5941,F,Ship,4,2,244,3,high,M,1,5559,1
5942,A,Ship,4,5,252,3,medium,F,4,5017,0
5943,B,Ship,5,5,158,2,low,M,8,4743,0
5944,C,Ship,2,5,286,6,medium,F,5,5490,0
5945,F,Ship,3,5,164,3,high,M,10,4639,1
5946,D,Ship,4,3,170,6,medium,M,6,4998,0
5947,F,Ship,4,1,269,2,medium,F,8,4930,0
5948,A,Ship,4,2,238,2,low,F,2,4002,0
5949,B,Ship,4,3,198,7,medium,F,1,5315,0
5950,C,Ship,4,4,184,8,low,M,7,5235,1
5951,F,Ship,5,2,265,3,low,M,10,4347,1
5952,D,Ship,3,2,204,10,medium,F,10,4534,0
5953,F,Ship,5,1,233,7,medium,F,5,5759,1
5954,A,Ship,4,5,134,3,low,F,8,5694,0
5955,B,Ship,3,4,153,3,medium,F,9,5474,0
5956,C,Ship,2,5,241,3,medium,F,3,4253,1
5957,F,Ship,4,5,187,3,low,M,7,5022,1
5958,D,Ship,3,3,148,3,low,F,8,5622,0
5959,F,Ship,3,4,133,8,medium,F,10,5439,1
5960,A,Ship,6,1,250,4,low,M,10,1623,1
5961,B,Ship,6,1,249,4,medium,M,2,1326,1
5962,C,Ship,5,2,259,5,low,M,8,1678,0
5963,F,Ship,6,4,266,4,low,M,5,1639,1
5964,D,Ship,6,5,244,4,medium,F,6,1185,0
5965,F,Ship,4,5,239,6,low,M,2,1879,0
5966,A,Ship,4,5,270,5,low,F,1,1187,1
5967,B,Ship,6,3,270,4,low,F,7,1079,0
5968,C,Ship,6,2,257,4,medium,M,1,1513,0
5969,F,Ship,4,3,243,5,medium,F,3,1634,1
5970,D,Ship,4,5,271,4,low,M,6,5078,0
5971,F,Ship,6,3,202,4,medium,F,6,4249,0
5972,A,Ship,3,3,265,3,medium,F,3,5986,1
5973,B,Ship,4,1,220,3,medium,M,1,5159,1
5974,C,Ship,4,3,274,2,low,M,1,4762,0
5975,F,Ship,4,1,212,2,medium,M,4,4969,0
5976,D,Ship,4,2,244,3,high,F,3,4103,0
5977,F,Ship,4,2,252,3,medium,F,4,5782,0
5978,A,Ship,5,1,158,2,low,M,4,5736,1
5979,B,Ship,2,5,286,6,medium,F,3,4497,1
5980,C,Ship,3,3,164,3,high,M,8,5170,0
5981,F,Ship,4,2,170,6,medium,M,10,4891,0
5982,D,Ship,4,3,269,2,medium,M,2,4158,0
5983,F,Ship,4,3,238,2,low,M,7,5808,1
5984,A,Ship,4,5,198,7,medium,M,9,4249,1
5985,B,Ship,4,3,184,8,low,M,4,4686,0
5986,C,Ship,5,2,265,3,low,M,8,5447,1
5987,F,Ship,3,1,204,10,medium,M,5,5375,0
5988,D,Ship,5,2,233,7,medium,F,8,5519,1
5989,F,Ship,4,2,134,3,low,F,9,4214,1
5990,A,Ship,3,2,153,3,medium,M,6,4056,0
5991,B,Ship,2,1,241,3,medium,F,5,5697,1
5992,C,Ship,4,4,187,3,low,F,8,4893,0
5993,F,Ship,3,4,148,3,low,F,8,5267,1
5994,D,Ship,3,5,133,8,medium,F,8,5002,1
5995,F,Ship,6,1,250,4,low,M,4,1018,0
5996,A,Ship,6,5,249,4,medium,M,3,1710,1
5997,B,Ship,5,3,259,5,low,M,2,1730,0
5998,C,Ship,6,2,266,4,low,F,9,1220,0
5999,F,Ship,6,3,244,4,medium,M,5,1108,1
6000,D,Ship,4,5,239,6,low,M,4,1451,0
6001,F,Road,4,3,270,5,low,F,3,1786,1
6002,A,Road,6,4,282,4,low,M,6,1580,0
6003,B,Road,6,5,295,4,medium,M,2,1981,0
